route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5198_117927,7778019,G1,Red Cow LUAS - Spencer Dock,,3,,,
5198_117928,7778019,G2,Liffey Valley SC - Spencer Dock,,3,,,
5198_117929,7778019,H1,Baldoyle - Lower Abbey Street,,3,,,
5198_117930,7778019,H2,Malahide - Lower Abbey Street,,3,,,
5198_117931,7778019,H3,Howth Summit - Lower Abbey Street,,3,,,
5198_117932,7778019,N4,Blanchardstown - Point Village,,3,,,
5198_117933,7778019,S2,Sean Moore Road - Heuston Station,,3,,,
5198_117934,7778019,65A,Route 65A Tallaght Sq - Blessington,,3,,,
5198_117935,7778019,15A,Merrion Square - Limekiln Avenue,,3,,,
5198_117936,7778019,27B,Eden Quay - Harristown,,3,,,
5198_117937,7778019,32X,UCD Belfield - Malahide,,3,,,
5198_117938,7778019,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
5198_117939,7778019,39X,Ongar - Burlington Road,,3,,,
5198_117940,7778019,44B,Glencullen - Dundrum Luas,,3,,,
5198_117941,7778019,65B,Poolbeg Street - Citywest,,3,,,
5198_117942,7778019,70D,Dunboyne - DCU,,3,,,
5198_117943,7778019,77X,Citywest - UCD Belfield,,3,,,
5198_117944,7778019,1,Sandymount - O'Connell Street - Santry,,3,,,
5198_117945,7778019,4,Monkstown Avenue - Heuston Station,,3,,,
5198_117946,7778019,7,Brides Glen Luas - Mountjoy Square,,3,,,
5198_117947,7778019,15B,Merrion Square - Stocking Avenue,,3,,,
5198_117948,7778019,41B,Rolestown - Lower Abbey Street,,3,,,
5198_117949,7778019,41X,Swords - UCD Belfield,,3,,,
5198_117950,7778019,7E,Mountjoy Square - Dalkey,,3,,,
5198_117951,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
5198_117952,7778019,7B,Shankill - Mountjoy Square,,3,,,
5198_117953,7778019,7D,Dalkey - Mountjoy Square,,3,,,
5198_117954,7778019,27X,Clare Hall - UCD Belfield,,3,,,
5198_117955,7778019,15D,Merrion Square - Whitechurch,,3,,,
5198_117956,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
5198_117957,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
5198_117958,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
5198_117959,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
5198_117960,7778019,39A,Ongar - UCD Belfield,,3,,,
5198_117961,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
5198_117962,7778019,42D,Portmarnock - DCU,,3,,,
5198_117963,7778019,51D,Aston Quay - Clondalkin,,3,,,
5198_117964,7778019,27A,Blunden Drive - Eden Quay,,3,,,
5198_117965,7778019,69X,Rathcoole - Hawkins St,,3,,,
5198_117966,7778019,L12,Ballywaltrim - Bray Dart Station,,3,,,
5198_117967,7778019,L14,Southern Cross Road - Palermo,,3,,,
5198_117968,7778019,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
5198_117969,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
5198_117970,7778019,L54,River Forest - Red Cow Luas,,3,,,
5198_117971,7778019,L58,River Forest - Castletown - Hazelhatch Stn,,3,,,
5198_117972,7778019,L59,River Forest - Celbridge - Hazelhatch,,3,,,
5198_117973,7778019,L89,Broombridge Luas - Toberburr,,3,,,
